Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1(0.8),,lag2(0.6),,stock_price_movement
2/01/2018,0.268656716,0.731343284,0.2823219,0.7176781,-0.304727859,1,0.257446809,0.742553191,0.0195,-0.1563584,0.8,-0.154686165,0.48,-1
3/01/2018,0.340314136,0.659685864,0.26007326,0.73992674,-0.195448,1,0.3328,0.6672,-0.0103,-0.257810275,0.8,-0.48,0.145335617,1
4/01/2018,0.265895954,0.734104046,0.24382716,0.75617284,-0.322262844,1,0.257636122,0.742363878,0.0001,-0.8,0.242226028,-0.014473869,0.48,-1
5/01/2018,0.232804233,0.767195767,0.391681109,0.608318891,-1,0.302782535,0.346655791,0.653344209,-0.0074,-0.024123114,0.8,-0.098384632,0.48,-1
8/01/2018,0.222222222,0.777777778,0.348066298,0.651933702,-0.030153893,1,0.2959285,0.7040715,0.0069,-0.163974387,0.8,-0.320387681,0.48,-1
9/01/2018,0.234042553,0.765957447,0.173652695,0.826347305,-0.204967984,1,0.206206206,0.793793794,-0.0013,-0.533979469,0.8,-0.098728034,0.48,1
10/01/2018,0.235714286,0.764285714,0.25994695,0.74005305,-0.667474336,1,0.251612903,0.748387097,0.0182,-0.164546724,0.8,-0.145194219,0.48,1
11/01/2018,0.173913043,0.826086957,0.314666667,0.685333333,-0.205683405,1,0.281021898,0.718978102,0.0026,-0.241990366,0.8,-0.090018474,0.48,-1
12/01/2018,0.421052632,0.578947368,0.402083333,0.597916667,-0.302487957,1,0.410575428,0.589424572,-0.0277,-0.15003079,0.8,-0.48,0.188475476,-1
16/01/2018,0.34,0.66,0.219298246,0.780701754,-0.187538488,1,0.292546584,0.707453416,-0.0076,-0.8,0.314125793,-0.443049984,0.48,-1
17/01/2018,0.339622642,0.660377358,0.395784543,0.604215457,-1,0.392657241,0.40403071,0.59596929,-0.0005,-0.73841664,0.8,-0.48,0.299225104,-1
18/01/2018,0.395683453,0.604316547,0.41025641,0.58974359,-0.9230208,1,0.433895297,0.566104703,-0.0079,-0.8,0.498708506,-0.219823407,0.48,-1
19/01/2018,0.378205128,0.621794872,0.459283388,0.540716612,-1,0.623385633,0.447195921,0.552804079,-0.0045,-0.366372346,0.8,-0.4511472,0.48,-1
22/01/2018,0.424626007,0.575373993,0.422948074,0.577051926,-0.457965432,1,0.460913706,0.539086294,-0.0045,-0.751912,0.8,-0.42042638,0.48,-1
23/01/2018,0.396369138,0.603630862,0.3325,0.6675,-0.93989,1,0.380251346,0.619748654,-0.0709,-0.700710633,0.8,-0.48,0.281526503,-1
24/01/2018,0.393034826,0.606965174,0.280280866,0.719719134,-0.875888291,1,0.340560374,0.659439626,-0.0116,-0.8,0.469210838,-0.318473472,0.48,-1
25/01/2018,0.367977528,0.632022472,0.464444444,0.535555556,-1,0.586513547,0.439473684,0.560526316,-0.0041,-0.530789119,0.8,-0.158750063,0.48,1
26/01/2018,0.37084399,0.62915601,0.433944954,0.566055046,-0.663486399,1,0.409445585,0.590554415,0.0158,-0.264583438,0.8,-0.405193968,0.48,1
29/01/2018,0.370588235,0.629411765,0.783376963,0.216623037,-0.330729297,1,0.675982946,0.324017054,0.0016,-0.67532328,0.8,-0.27075961,0.48,-1
30/01/2018,0.398058252,0.601941748,0.46961326,0.53038674,-0.8441541,1,0.441926346,0.558073654,-0.0156,-0.451266017,0.8,-0.037863885,0.48,-1
31/01/2018,0.381578947,0.618421053,0.471193416,0.528806584,-0.564082521,1,0.394230769,0.605769231,0.0057,-0.063106475,0.8,-0.145690558,0.48,-1
1/02/2018,0.371859296,0.628140704,0.319474836,0.680525164,-0.078883094,1,0.333107191,0.666892809,-0.0036,-0.242817597,0.8,-0.48,0.378835977,1
2/02/2018,0.265700483,0.734299517,0.144605117,0.855394883,-0.303521996,1,0.261904762,0.738095238,0.0018,-0.8,0.631393295,-0.089353648,0.48,-1
5/02/2018,0.408080808,0.591919192,0.444641275,0.555358725,-1,0.789241619,0.453323376,0.546676624,-0.0202,-0.148922747,0.8,-0.48,0.326828524,-1
6/02/2018,0.280757098,0.719242902,0.437377049,0.562622951,-0.186153434,1,0.397951536,0.602048464,0.0241,-0.8,0.544714207,-0.329097628,0.48,1
7/02/2018,0.345132743,0.654867257,0.406732673,0.593267327,-1,0.680892759,0.394156402,0.605843598,0.0089,-0.548496047,0.8,-0.082086928,0.48,1
8/02/2018,0.344827586,0.655172414,0.18001885,0.81998115,-0.685620059,1,0.239576851,0.760423149,0.0075,-0.136811547,0.8,-0.216959067,0.48,-1
9/02/2018,0.268817204,0.731182796,0.316109422,0.683890578,-0.171014434,1,0.306228374,0.693771626,-0.0048,-0.361598445,0.8,-0.110423995,0.48,1
12/02/2018,0.230046948,0.769953052,0.244147157,0.755852843,-0.451998056,1,0.27973749,0.72026251,0.0154,-0.184039991,0.8,-0.135092433,0.48,1
13/02/2018,0.259259259,0.740740741,0.302600473,0.697399527,-0.230049989,1,0.273873874,0.726126126,0.0107,-0.225154054,0.8,-0.279750157,0.48,1
14/02/2018,0.272727273,0.727272727,0.306796117,0.693203883,-0.281442568,1,0.275968039,0.724031961,0.015,-0.466250262,0.8,-0.17220383,0.48,1
15/02/2018,0.241525424,0.758474576,0.180497925,0.819502075,-0.582812828,1,0.237873134,0.762126866,0.0078,-0.287006384,0.8,-0.199853809,0.48,1
16/02/2018,0.270491803,0.729508197,0.271317829,0.728682171,-0.35875798,1,0.325817362,0.674182638,-0.0025,-0.333089682,0.8,-0.48,0.421814435,-1
20/02/2018,0.305555556,0.694444444,0.211699164,0.788300836,-0.416362103,1,0.307116105,0.692883895,-0.0067,-0.8,0.703024058,-0.48,0.409500252,-1
21/02/2018,0.40625,0.59375,0.444444444,0.555555556,-1,0.878780072,0.439224459,0.560775541,-0.0173,-0.8,0.68250042,-0.004824607,0.48,1
22/02/2018,0.281818182,0.718181818,0.075625,0.924375,-1,0.853125525,0.139050388,0.860949612,0.019,-0.008041012,0.8,-0.036529775,0.48,-1
23/02/2018,0.321428571,0.678571429,0.109756098,0.890243902,-0.010051265,1,0.248484848,0.751515152,-0.003,-0.060882958,0.8,-0.069985175,0.48,-1
26/02/2018,0.35,0.65,0.318181818,0.681818182,-0.076103698,1,0.284722222,0.715277778,-0.005,-0.116641958,0.8,0,0,1
27/02/2018,0.272727273,0.727272727,0.35,0.65,-0.145802448,1,0.3125,0.6875,0.001,0,0,0,0,1
28/02/2018,0.263157895,0.736842105,0.195979899,0.804020101,-0.093360449,1,0.210638298,0.789361702,-0.002731768,-0.216427306,0.8,-0.062141904,0.48,1
1/03/2018,0.267857143,0.732142857,0.233082707,0.766917293,-0.270534132,1,0.270516717,0.729483283,0.01907779,-0.103569839,0.8,-0.099169481,0.48,1
